# StemThing 3.1 slot-bearing-artifact census (STEMTHING-CENSUS-TIER2-SESSION @ a3183b17)
# schema: artifact | crate:file evidence | representation | lifetime | order-bearing | replay-bearing | rebind path under shape (a) | verdict
# verdict classes: REBIND-FREE / REBIND-AT-BOUNDARY / ORDER-PIN / REPLAY-RECORD / BLOCKER
C2-owner-channel-buckets	spec:spec/async_staleness.rs sim:resolution_site.rs	OwnerChannelScopeKey (id-keyed); 9.2 rules interned owner id for column layout	session-resident	YES (bucket order)	no	bucket order keyed on owner ids per 9.2 ruling, never physical row	REBIND-FREE
P1-anchor-remap-record	[analysis] core:anchor_remap.rs sim:anchor_remap_encode.rs	AnchorLocusRemap from_slot/to_slot Option<SlotIndex>	persisted per boundary	no	YES	IS the remap mechanism (landed 5.2); SlotCapacityGrow op already covers slot movement; extend with EpochCompaction op variant only	REPLAY-RECORD
P1-integration-schedule	[analysis] core:generation_stamp.rs	no slot fields	persisted	no	YES	slot-free by construction (verified); nothing to rebind	REBIND-FREE
P1-spec-replay-slot-delta	[analysis] driver:spec_replay.rs:121-124	raw u32 current_slot in SpecDelta::ScriptedInstanceSlotChanged	persisted	no	YES	records that a slot moved; identity resolves by authored string id (Replay v3 header law); epoch remap interpretable via AnchorLocusRemap chain	REPLAY-RECORD
J1-jit-artifacts	[analysis] kernel:eml_resource_class.rs	generated WGSL reads target_slot from runtime schedule buffer; pipeline_cache_digest = (resource_class, program identity)	compiled cache	no	no	zero slot constants in generated code; cache key slot-free	REBIND-FREE
S1-spec-compile-products	driver:scenario.rs driver:session.rs driver:arena_pressure.rs driver:min_plus_traversal_field.rs driver:comparative_projection.rs driver:mapping_runtime.rs driver:hosted_property_observation.rs + [analysis] spec:spec/scenario.rs clausething:hydrate_scenario.rs	authored (col,row) coords + compile-time dense mapping	compile products	no	no	slots minted at install from authored structure; recompiled at boundary	REBIND-AT-BOUNDARY
X1-presentation-reads	mapeditor:studio_live_session_bridge.rs	slot reads for render row lookup	frame-transient	no	no	projection/cache only, never authority (tools-crate law); re-reads binding table	REBIND-FREE
X2-oracle-harness	[analysis] sim:legacy_oracle.rs:96	sort on (slot,col,event_kind)	test-only	YES (harness-local)	no	header forbids runtime dependence; not production order	REBIND-FREE
X3-core-internals	core:slot_index.rs core:anchor_table.rs core:simthing.rs(analysis) core:lib.rs(analysis) kernel:cpu_oracle.rs kernel:reduction.rs kernel:transfer_accumulator.rs kernel:projection.rs kernel:overlay_prep.rs sim:tree_mutation.rs sim:property_expiry.rs sim:overlay_lifecycle.rs	type definition + oracle twins + tick math on resolved indices	tick-transient	no	no	consume already-resolved indices from plans; no persistence	REBIND-FREE
# RECONCILIATION (corrected 2026-08-04, Opus flaw-3 + Codex flaw-3 remediation): accessor-consumer universe = 51 files, compiler-harvested with the strict filter (deprecation note CENSUS on SlotIndex::{new,raw,as_usize}; warning line must name SlotIndex+CENSUS). Two earlier published counts (61, 62) were contaminated by UNRELATED deprecation warnings (bevy API deprecations in simthing-tools; mapgenerator warnings) - tools:{text_render,bevy}.rs and mapgenerator:{cluster,strategies/common}.rs carry ZERO SlotIndex references and are REMOVED from evidence. 51/51 assigned to rows above, zero dups, zero unassigned - universe pinned in stemthing_slot_census_universe.txt; re-verify with stemthing_slot_census_check.sh --check, re-harvest with --harvest (local, seals accessors, cargo check). Analysis-added carriers (hold/serialize slot values WITHOUT calling sealed accessors; found by grep/boundary/persistence walks, tagged [analysis] in evidence): spec_replay.rs, gpu_readback.rs, anchor_remap.rs, anchor_remap_encode.rs, generation_stamp.rs, eml_registry.rs, fission_child_spawn.rs, spec/scenario.rs, hydrate_scenario.rs, simthing.rs, lib.rs, eml_resource_class.rs, legacy_oracle.rs, accumulator_op.wgsl, input_list_table.rs.
# grep cross-check residue: linear_idx/n_dims arithmetic -> K1/X3; SlotRange plans -> K2; INPUT_LIST payloads -> K2; base+k* in wgsl_encode.rs -> K1 (sole WGSL-RAW-BOUNDARY per 4.2); .ron/.clause/.json fixture sweep: ZERO slot-bearing hits.
# CLAIM STRENGTH (Codex remediation): tree-derived and fully dispositioned - NOT asserted as mathematically exhaustive; aggregated rows are 6.4's mechanical worklist. BLOCKER count: 0. ORDER-PIN count: 0. Shape (a) ADMISSIBLE (ruling unchanged; contingent proof owed at 6.4 - see remap-granularity STOP condition on the 6.4 row).
