scan-id | branch | outcome | reason | commit
SEMANTIC-WORDS | ci-c-inner-loop-0 | green | inner-loop demo: new ThresholdSemantic::debug_kind() first draft tagged CapabilityUnlock as "faction_capability_unlock" (legacy vocabulary, echoing the variant's own doc comment); doctrine_scan.sh caught it as a real INSPECT before PR; renamed to "capability_unlock" (drops legacy term, matches sibling tag naming with no subject prefix); final whole-tree scan PASS 0; transcript in docs/tests/ci-c-inner-loop-0_results.md | fd11b746
TEST-BUDGET | studio-live-ops-hardening-0 | green | STUDIO-LIVE-OPS-HARDENING-0: 13 named proofs cover distinct replacement resets, detach ordering, cancel semantics, repeated open, rapid rates, paused save, fail-loud save, and modal zero-tick behavior; not malformed-input enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-canonical-scenario-0 | green | STUDIO-CANONICAL-SCENARIO-0: 4 named headless proofs are distinct (empty-resolver non-scenarios cwd, multi-tick identity, token back-compat, no sibling output); not enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-faction-identity-fields-0 | green | STUDIO-FACTION-IDENTITY-FIELDS-0: 8 named distinct proofs (roundtrip, hydrate, distinct colors, names, malformed color, missing color, empty-resolver regression, no gameplay); not enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-star-naming-pass-0 | green | STUDIO-STAR-NAMING-PASS-0: 9 named proofs cover non-empty emitter output, seed and byte stability, structure preservation, >catalogue uniqueness, canonical golden repair, Spec helper resolution, and 11.1/11.2 regressions; not malformed-input enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-clause-loader-simplify-0 | green | STUDIO-CLAUSE-LOADER-SIMPLIFY-0: 10 named distinct proofs (JSON hide, resolver hide, source_base, alien cwd, bridge reset, modal pause, telemetry identity, telemetry counts, no Spec mut, token fail-loud); not enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-faction-nameplates-0 | green | STUDIO-FACTION-NAMEPLATES-0: 10 named distinct presentation proofs (names, owner color, neutral, no Spec mut, no brighten, no wgsl, render wiring, fallback id, unknown owner neutral, no authority crate leak); not enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-owned-star-select-brighten-0 | green | STUDIO-OWNED-STAR-SELECT-BRIGHTEN-0: 11 named distinct proofs (owner set, unowned no-group, deselect clear, owner_ref not color, actual selection, nameplate focus, 11.5 colors, no Spec mut, no WGSL, 11.4 loader, visual sync wire); not enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-frosted-glass-0 | green | STUDIO-FROSTED-GLASS-0: 11 named proofs cover distinct dark tint, real blur shader, Settings, Telemetry, left panel, modal lifecycle, shared target, bounded passes, frame timing, no Spec mutation, and no gameplay/clock semantics; not malformed-input enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-star-naming-repair-0 | green | STUDIO-STAR-NAMING-REPAIR-0: 8 named proofs cover distinct canonical ClauseScript 1500-name coverage, non-empty/non-hex labels, deterministic double regeneration, committed JSON freshness, placement/link/owner preservation, render-path non-change, loader retention, and 11.2 identity retention; not malformed-input enumeration theater | permanent-residue:behavior-regression
TEST-BUDGET | studio-loader-dialog-repair-0 | green | STUDIO-LOADER-DIALOG-REPAIR-0: 18 named proofs (10 prior + 8 atomic visibility: pending root hidden, inherit, cover, reveal after batch, parent transition, cancel never reveal, failure cleanup, cover z-order); not enumeration theater | permanent-residue:behavior-regression
SPEC-LOWERER-KIND-READ | studio-fleet-presence-readout-0:first_fleet_under | green | STUDIO-FLEET-PRESENCE-READOUT-0 DA ruling: kind read enumerates Fleet nodes for a read-only presence snapshot; no lowering decision, role resolution, or behavior is keyed on kind | da-remand
SPEC-LOWERER-KIND-READ | studio-fleet-presence-readout-0:collect_fleet_records | green | STUDIO-FLEET-PRESENCE-READOUT-0 DA ruling: kind read enumerates Fleet nodes for a read-only presence snapshot; no lowering decision, role resolution, or behavior is keyed on kind | da-remand
TEST-BUDGET | studio-disruption-readout-0:spec-tests | green | DA rider (K-rung precedent): 5 named distinct proofs per the handoff EXIT-PROOF; accounted, not suppressed | da-rider
TEST-BUDGET | tp-field-economy-grammar-0:field-economy-grammar-tests | green | TP-FIELD-ECONOMY-GRAMMAR-0 + 12.10 remand: named paired regressions for supported lowering plus admission proofs for required coefficient, coefficient=0 neutralization, optional absent coupling + malformed present fail-closed, and silo capacity; accounted, not malformed-input enumeration theater | remand
SPEC-LOWERER-KIND-READ | tp-field-economy-grammar-0:validate-location-ref | green | TP-FIELD-ECONOMY-GRAMMAR-0 Location kind read is admission validation for STEAD placement eligibility, not runtime semantic branching or new lowerer substrate | remand
TEST-BUDGET | tp-clause-economy-author-0 | green | TP-CLAUSE-ECONOMY-AUTHOR-0: 4 named tests protect distinct lowering, determinism, alien-CWD, and sidecar boundaries; not enumeration theater | 13bd5f4d599cf2ad37f62b529d45ca052b415837
TEST-BUDGET	studio-field-session-elevate-0	green	STUDIO-FIELD-SESSION-ELEVATE-0: 8 mapeditor + 3 workshop named proofs are distinct load-bearing boundaries; not enumeration theater	fa1a3100c1e6e02918deeb801da29033fbaeddee
TEST-BUDGET	studio-gpu-adapter-enforce-0	green	STUDIO-GPU-ADAPTER-ENFORCE-0: 4 focused tests cover exact adapter acceptance, four mandated mismatch classes, renderer policy, truthful telemetry mapping, and the escaped plugin init-order defect; not enumeration theater	b99fa6326b729cd6fb8a1e9adba364795015dccd
TEST-BUDGET	rf-need-binding-authoring-0	green	RF-NEED-BINDING-AUTHORING-0 remander 5013877587: 18 named falsifier/exit proofs are distinct DA matrix rows (not enumeration theater); mid-session refresh STOP recorded	80cdbfc268a6ea5ca25dc11d320a4ea837518e18
TEST-BUDGET	rf-need-binding-authoring-0-remand-5014412811	green	RF-NEED-BINDING-AUTHORING-0: 24 named proofs are distinct load-bearing remand rows (authored LIVE/DISCONNECT/STATIC closed forms, explicit host and actual span failures, same-participant staged-slice isolation, cross-row projection, exact events, and authority/non-invention); not enumeration theater	99586581272ec69a839034598c399bddddb7bc5c
TEST-BUDGET	rf-need-binding-authoring-0-remand-5015916255	green	RF-NEED-BINDING-AUTHORING-0: 24 named proofs are distinct load-bearing remand rows (authored LIVE/DISCONNECT/STATIC closed forms, explicit host and actual span failures, duplicate need-target rejection, cross-row projection, ordinary kind 77 exactly once after post-RF append, need kind 91 exactly once, and authority/non-invention); not enumeration theater	d53d5253aad066e0fe8b187e1b2dc21ed7279e7c
TEST-BUDGET	studio-disruption-select-screen-0	green	STUDIO-DISRUPTION-SELECT-SCREEN-0: 5 named integration proofs are distinct load-bearing regressions (piecewise/clamp, deselect identity, ownership-agnostic selection, 11.6 coexist, no WGSL/Spec surface); not enumeration theater	4b2db7e8f8d450c718c8006a60bc7182598be906
TEST-BUDGET	studio-disruption-select-screen-0	green	STUDIO-DISRUPTION-SELECT-SCREEN-0: 5 named integration proofs are distinct load-bearing regressions (piecewise/clamp, deselect identity, ownership-agnostic selection, 11.6 coexist, no WGSL/Spec surface); not enumeration theater	4b2db7e8f8d450c718c8006a60bc7182598be906
