# path	class	basis  # EXECUTION-STATUS-TAXONOMY-0; classes: executed|oracle|rehearsal|compile-plan
# Census: every driver/kernel pub mod is taxonomy, mixed residual (secondary evidence), or non_execution.
# DA-ruled dual-posture files hold PRIMARY class here; secondary evidence in execution_status_mixed_posture.tsv (mixed_ruled).
crates/simthing-kernel/src/reduction.rs	compile-plan	Reduction topology and per-column rule compile plans; CPU judge relocated to cpu_oracle.rs by ROW-SLOT-OBJECT-SEMANTICS-0
crates/simthing-kernel/src/reduction_orderband.rs	compile-plan	plan_reduction_orderband — OrderBand plan for reduction depths
crates/simthing-kernel/src/registration.rs	executed	Threshold registration substrate consumed by executed threshold/emission paths
crates/simthing-kernel/src/resolved.rs	executed	Resolved GPU buffer residency for live kernel dispatch
crates/simthing-kernel/src/sealed/band_crossing_delta.rs	executed	Sealed write-impact BandCrossingDelta mint from fused threshold emissions
crates/simthing-kernel/src/sealed/emission.rs	executed	Sealed emission record types used on the executed emission path
crates/simthing-kernel/src/sealed/threshold_event.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/sealed/write_authority.rs	executed	ResolvedWriteAuthority seal token for live resolved GPU column writes
crates/simthing-kernel/src/slot.rs	executed	Slot allocator for dense-matrix residency used by executed RF/kernel paths
crates/simthing-kernel/src/transfer_accumulator.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/velocity_accumulator.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
crates/simthing-kernel/src/wgsl_encode.rs	compile-plan	Single typed-plan to raw WGSL POD encoding boundary; promotion blocker PLAN-STRUCT-TYPING-0
crates/simthing-kernel/src/world_state.rs	executed	Live WorldGpuState buffer residency and upload; compile-plan encoding helpers relocated to wgsl_encode.rs
crates/simthing-driver/src/action_band_execution_compile.rs	compile-plan	Frozen 7.1 ActionBand admission product lowers to domain-free GPU template/target/band/EML/binding tables
crates/simthing-kernel/src/accumulator_op/action_band_execution.rs	executed	Live driver/kernel execution or residency path in the recursive RF / arena stack
