system_id	group	canonical_source	production_path	planned_exposure	load_bearing	lb_reason	instrument	status_instrument	status_characterization	status_historical	status_release	status_execution	status_debt	candidate_eligibility	evidence_owner
ZERO-MEMBER-CANON	membership-lifecycle	canon-8.4.5;unification-15.11	four sites: draw/cpu-clearing/wgsl/planner	zero-member G0/U0 referees + zero-valued present participants in specimen	no	identity law; exercised by scenario zero-output outpost	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-ECONOMY-FLEET-0
NEUTRAL-TERMINATION-FACTS	membership-lifecycle	canon-8.4.5;unification-15.11	crates/simthing-spec/src/spec	termination-fact referees + combat casualty stream termination	no	event-rate path measured under churn row	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-COMBAT-0
SURVIVOR-SUBSET-PARTIAL-MINT	membership-lifecycle	canon-8.4.5;unification-15.12	crates/simthing-spec/src/spec	72/72 mixed live-basis referees + application partial departures	no	permission derivation; churn cost under MEMBERSHIP-CHURN	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-CONTINUATION-RELIABILITY-0
DEPARTURE-CONSEQUENCE-INGRESS	membership-lifecycle	canon-8.4.5;unification-15.3/15.12	crates/simthing-driver/src/persistence_consequence_ingress.rs	disposition-to-consequence referees + authored exit handling in specimen	no	authored-path correctness; not hot	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-POLICY-CONTINUATION-0
MEMBERSHIP-CHURN-AT-SCALE	membership-lifecycle	canon-8.4.5	whole membership path under growth/churn	scale-soak churning profiles: entry+departure+reentry per generation	yes	churn dominates growing application workloads	rehearsal_perf churn family	planned	pending	n/a	unopened	unrun	none	PERF-SCHEDULING	0088-SCALE-SOAK-0
FAULT-POISONING-FAILSTOP	fault-generation	canon-8.4.5;unification-15.10	crates/simthing-driver/src/session.rs	8-shapes x 24-retries referees + reliability fault injection	no	failure-path law; not throughput	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-CONTINUATION-RELIABILITY-0
TREE-GENERATION-PERMIT	fault-generation	canon-8.4.5;unification-15.7	crates/simthing-driver/src/session.rs	permit refusal matrix + permit/barrier interval in T_R	yes	permit/barrier is a measured T_R component	T_R component	planned	pending	n/a	unopened	unrun	none	PERF-SCHEDULING	0088-APPLICATION-PERFORMANCE-0
ONE-VERDICT-POSTURES	posture-singularity	canon-8.4.6;unification-15.13	crates/simthing-driver/src/resident_clearing_runtime.rs	F1/F2 falsifiers both postures + application resident default	no	verdict identity; oracle is opt-in	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-INTEGRATED-ACCEPTANCE-0
CPU-ORACLE-DOORS	posture-singularity	canon-8.4.6;census CPU-CLEARING-ORACLE-*	crates/simthing-spec/src/spec/constrained_clearing.rs	five-door oracle referees + explicit oracle posture runs	no	oracle only; never ordinary path	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-INTEGRATED-ACCEPTANCE-0
E8-ADAPTER-SEAL	e8-qualification	canon-8.4.6;E8 standing law	crates/simthing-gpu/src/resident_clearing_runtime.rs	pin referees + clean-checkout reproducibility procedure on any touched bundle	no	qualification gate; not a throughput path	n/a	valid	pending	n/a	unopened	unrun	none	E8-NORMALIZE-BEFORE-HASH	0088-CLOSEOUT-0
BOUNDARY-REQUEST-INGRESS	structural-boundary	canon;census ACTIONBAND-SINGLE-CROSSING	crates/simthing-driver/src/action_band_consequence.rs;crates/simthing-sim/src/boundary.rs	fleet birth/removal through BoundaryRequest + reliability remap	yes	structural application scales with birth/casualty rate	rehearsal_perf structural family	planned	pending	n/a	unopened	unrun	none	PERF-SCHEDULING	0088-APPLICATION-PERFORMANCE-0
CAPACITY-EXTENT-IDENTITY	structural-boundary	canon;invariants.md	crates/simthing-sim/src/boundary.rs	capacity conservation referees + placement refusal cases	no	invariant family; exercised by construction contract	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-CONSTRUCTION-LIFECYCLE-0
ACTIONBAND-CROSSING-AUTHORITY	structural-boundary	census ACTIONBAND-SINGLE-CROSSING;actionband doc	crates/simthing-kernel/src/accumulator_op/action_band_execution.rs	movement arrivals + combat terminal crossings through the sealed batch	yes	crossing batch on every movement/combat generation	rehearsal_perf crossing family	planned	pending	n/a	unopened	unrun	none	PERF-SCHEDULING	0088-MOVEMENT-0
FIELDSWEEP-COMMON-IR	fieldsweep-eml	canon;field-sweep-preservation anchor	crates/simthing-kernel/src/field_sweep.rs	all field consumers through one sweep IR; movement/combat/border fields	yes	every field generation cost	rehearsal_perf field family	planned	pending	n/a	unopened	unrun	none	PERF-FIELD	0088-APPLICATION-PERFORMANCE-0
STEAD-SIGNAL	fieldsweep-eml	canon-7;stead anchors	crates/simthing-kernel/src/field_sweep.rs	born heatmaps for specimen pressure/coverage observations	yes	observation-facing field at scale	rehearsal_perf field family	planned	pending	n/a	unopened	unrun	none	PERF-FIELD	0088-SCALE-SOAK-0
PALMA-MINPLUS	fieldsweep-eml	canon;actionband-field-triad	crates/simthing-kernel/src/field_sweep.rs	movement cost-to-go consumption (2.4) + horizon/refusal cases	yes	movement consumer every generation	rehearsal_perf field family	planned	pending	n/a	unopened	unrun	none	PERF-FIELD	0088-MOVEMENT-0
GUYANG-CONSERVATIVE-SIGNED	fieldsweep-eml	canon;A1 lease FIRST-RUNG PRECONDITION	crates/simthing-kernel/src/field_sweep.rs	restored gather-vs-tiled instrument + transit capacity in movement	yes	A1 inherited precondition; transit throughput	rehearsal_perf_guyang_gather (restored)	stale	pending	A1 archived ratios	unopened	unrun	FIRST-RUNG PRECONDITION open	PERF-FIELD	0088-BASELINE-0
EML-EXP-LN-EXACT	fieldsweep-eml	eml anchors;unification-5.11-5.13	crates/simthing-core/src/eml_exp.rs;eml_ln.rs	qualification batteries + authored policy chains in specimen	no	sealed exact numerics; no candidate may alter	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-POLICY-CONTINUATION-0
EML-FUSION-EVALUATION	fieldsweep-eml	eml anchors;eml_phase5 lease	crates/simthing-kernel	eml_phase5 leased family rebased into rehearsal_perf + authored modifier load	yes	per-generation EML evaluation cost	rehearsal_perf eml family (rebased eml_phase5)	stale	pending	leased packets	unopened	unrun	lease consumer=PERFORMANCE-TRACK	PERF-PREPACK-E9A	0088-APPLICATION-PERFORMANCE-0
BOUNDED-EGRESS-FRESHNESS	observation-egress	canon-8.3;resident-clearing anchor	crates/simthing-driver/src	Studio observation contract (workplan section 5) + freshness/backlog curves	yes	observation competes with execution at scale	rehearsal_perf observation family	planned	pending	n/a	unopened	unrun	none	PERF-INGEST-STUDIO	0088-SCALE-SOAK-0
TYPED-EXHAUSTION-REPLAY	observation-egress	canon-8.3	crates/simthing-driver/src	typed exhaustion referees + observer-pressure reliability cases	no	refusal-path law	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-CONTINUATION-RELIABILITY-0
STRUCTURAL-PRODUCTS-EGRESS	observation-egress	canon-8.3	crates/simthing-driver/src	boundary product egress under churn + restore	no	required-product correctness; volume under churn row	n/a	valid	pending	n/a	n/a	n/a	none	none	0088-CONTINUATION-RELIABILITY-0
CURRENT-NEXT-CARRY	infrastructure	unification-14.x;inherited research row	crates/simthing-kernel	facility carry remeasure at application cardinalities	yes	whole-generation copy cost	rehearsal_perf carry family	planned	pending	historical-4k-row	unopened	unrun	inherited research row	PERF-CARRY	0088-APPLICATION-PERFORMANCE-0
HOT-IDENTITY-SPARSE-WEIGHTS	infrastructure	inherited research row	crates/simthing-kernel;driver	identity lookup + sparse window construction at application scale	yes	upload/lookup on every rebind	rehearsal_perf identity family	planned	pending	n/a	unopened	unrun	inherited research row	PERF-IDENTITY	0088-APPLICATION-PERFORMANCE-0
DENSE-MATERIALIZATION	infrastructure	inherited research row	crates/simthing-gpu	materialized bytes/dispatch counts on field workloads	yes	dominant GPU byte volume	rehearsal_perf field family	planned	pending	n/a	unopened	unrun	inherited research row	PERF-ELISION	0088-APPLICATION-PERFORMANCE-0
MULTI-TREE-SCHEDULING	infrastructure	canon-8.2;inherited research row	crates/simthing-driver	independent trees + divergent generations + churn preparation	yes	multi-tree application target	rehearsal_perf scheduling family	planned	pending	n/a	unopened	unrun	inherited research row	PERF-SCHEDULING	0088-SCALE-SOAK-0
